Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"5389-1","Service Packs","Divers",1998,"Diving Accessories",,37,,4.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.0000,,"",""
"6626-1","Town","Classic",1981,"Rescue Helicopter",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3900,4.9500,"",""
"6627-1","Town","Vehicles",1980,"Convertible",1,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,92.7300,8.3500,"",""
"6512-1","Town","Construction",1992,"Landscape Loader",1,37,,3.25,,,5702010965120,,9.5,7.1,4.5,,"",0,0,0,,0,0,,,,,,,,,40.0000,5.1500,"",""
"6508-1","Town","Boats",1990,"Wave Racer",1,37,,3,,,5702010965083,,,,,,"",0,0,0,,0,0,,,,,,,,,31.2800,4.7300,"",""
"6518-1","Town","Coastguard",1996,"Baja Buggy",1,37,,3.5,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,12.1200,3.2500,"01/07/1996","31/12/1997"
"6425-1","Town","City",1999,"TV Chopper",1,37,,4,,,5702012000041,,14.4,7.2,7.2,,"",0,0,0,,0,0,,,,,,,,,34.4300,3.6200,"01/01/1999","01/07/2001"
"6319-1","Town","Accessories",1993,"Trees and Fences",,37,,4.5,,,5702010963195,,,,,,"",0,0,0,,0,0,,,,,,,,,31.9000,14.5000,"",""
"6309-1","Town","Accessories",1988,"Town Mini-Figures",6,37,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,138.7100,18.5100,"",""
"620-1","Town","Classic",1978,"Fire Truck",1,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,164.8100,17.9900,"",""
"626-2","Town","Classic",1978,"Red Cross Helicopter",,37,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,6.4400,"",""
"3289-1","Duplo","Bob the Builder",2007,"Muck & Roley in the Sunflower Factory",3,37,24.99,29.99,,,5702014500228,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"8929-1","Bionicle","Matoran",2007,"Defilak",,37,3.99,4.99,,,,673419090629,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,27.8200,11.0900,"",""
"8930-1","Bionicle","Matoran",2007,"Dekar",,37,3.99,4.99,,,,673419090636,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,44.1800,12.1500,"",""
"4911-1","Creator","Designer Set",2005,"Truck",,37,,,,,5702014468269,,,,,,"",0,0,0,,0,0,,,,,,,,,10.3100,9.5700,"",""
"4971-1","Duplo","LEGO Ville",2006,"Zoo Vehicles",2,37,18.99,24.99,,,5702014480056,,,,,,"",0,0,0,,0,0,,,,,,,,,89.9700,23.8800,"",""
"9236-1","Education","Duplo",2005,"Garden Set",4,37,,26,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,89.9900,,"",""
"7269-1","Creator","Designer Set",2005,"Scorpion",,37,,,,,,,0,0,0,,"",0,0,0,,0,0,,,,,,,,,15.4700,3.1300,"01/02/2005","31/12/2005"
"4282-1","Classic","",1999,"Trial Classic Bag 5+",,37,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.0000,,"",""
"4239-1","Freestyle","",1998,"Trial Size Bag 5+",1,37,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.0000,,"",""
"4130-1","Freestyle","",1995,"Daft 'n' Dotty",,37,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.6300,2.7900,"",""
"2435-1","Duplo","",1998,"Western Town",4,37,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,24.9900,"",""
"852747-1","Pirates","Accessories",2009,"Pirates Battle Pack",4,37,8.79,14.99,,,,673419127066,,,,,"",0,0,0,,0,0,,,,,,,,,100.0000,39.1200,"",""
"338-2","Fabuland","",1979,"Blondi the Pig and Taxi Station",1,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,388.6700,53.5500,"",""
"4905-1","Creator","Designer Set",2005,"Giraffe",,37,,,,,,,14,14,0,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2005","31/12/2005"
"7612-1","Racers","Tiny Turbos",2008,"Muscle Car",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"7797-1","Creator","Promotional",2008,"Bi-Plane",,37,,,,,5702014518384,,,,,,"",0,0,0,,0,0,,,,,,,,,7.6400,4.0000,"",""
"657-1","LEGOLAND","",1974,"Aircraft",,37,0.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,33.7700,7.5500,"",""
"653-1","LEGOLAND","Vehicle",1973,"Ambulance and Helicopter",,37,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.9900,22.2200,"",""
"40036-1","Promotional","Monthly Mini Model Build",2012,"Cobra",,37,0,0,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.9800,,"",""
"30019-1","City","Forest Fire",2012,"Fire Helicopter",1,37,,,,,5702014857681,673419192514,,,,,"",0,0,0,,0,0,,,,,,,,,6.1600,2.7000,"",""
"9554-1","Ninjago","Booster pack",2012,"Zane ZX",1,37,3.99,4.99,6.99,,5702014837263,673419166751,11.99,15.01,1.19,0.03,"",0,0,0,,0,0,,,,,,,,,27.8000,7.7900,"01/06/2012","31/08/2012"
"1893-1","Duplo","",1992,"Jungle Bucket",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10513-1","Duplo","Jake and the Never Land Pirates",2013,"Never Land Hideout",2,37,19.99,24.99,24.99,,5702014973404,673419190909,35.4,19.1,9.1,0.52,"",0,0,0,,0,0,,,,,,,,,39.5700,15.8300,"01/06/2013","31/12/2014"
"10561-1","Duplo","",2013,"Toddler Starter Building Set",,37,17.99,19.99,19.99,,5702014973374,673419190879,19.1,26.1,12.8,0.74,"",0,0,0,,0,0,,,,,,,,,26.0000,7.0800,"",""
"41022-1","Friends","Animals Series 2",2013,"Bunny's Hutch",,37,2.99,4.99,5.99,,5702014974951,673419191616,13,18,1.5,0.04,"",0,0,0,,0,0,,,,,,,,,6.3300,3.5900,"01/05/2013","31/08/2013"
"850458-1","Collectable Minifigures","Combi-pack",2012,"VIP Top 5 Boxed Minifigures",5,37,14.99,12.99,,,,673419183574,,,,,"",0,0,0,,0,0,,,,,,,,,43.4300,25.2700,"",""
"30071-1","Toy Story","Toy Story 3",2010,"Army Jeep",1,37,,3.99,,,5702014712911,673419147361,17,17,1,,"",0,0,0,,0,0,,,,,,,,,16.1200,6.1300,"01/05/2010","31/12/2010"
"852922-1","Castle","Kingdoms",2010,"Battle Pack",5,37,8.99,14.99,19.99,,,673419140461,,,,,"",0,0,0,,0,0,,,,,,,,,77.4800,32.0800,"",""
"245-2","Basic","",1977,"Two Santas",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,113.4600,3.3700,"",""
"3365-1","City","Space",2011,"Space Moon Buggy",1,37,3.99,4.99,6.99,,5702014724143,673419142083,12.19,9.09,4.7,0.06,"",0,0,0,,0,0,,,,,,,,,10.7200,2.9200,"01/03/2011","31/12/2013"
"9361-1","Dacta","",1991,"People",24,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,150.0000,,"",""
"852921-1","Castle","Kingdoms",2010,"Battle Pack",5,36,8.99,14.99,19.99,,,673419140454,,,,,"",0,0,0,,0,0,,,,,,,,,68.5800,49.1900,"",""
"655-1","LEGOLAND","",1973,"Mobile Hydraulic Hoist",,36,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,87.1500,8.7900,"",""
"654-1","LEGOLAND","",1973,"Crane Truck",,36,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,14.6500,"",""
"30061-1","Castle","Kingdoms",2010,"Attack Wagon",1,36,,,,,5702014711891,,,,,,"",0,0,0,,0,0,,,,,,,,,17.7400,16.0000,"",""
"30042-1","Atlantis","Promotional",2010,"Mini Sub",1,36,2.49,3.99,,,5702014695542,673419147385,17,17,0,,"",0,0,0,,0,0,,,,,,,,,5.2900,3.7700,"01/01/2010","31/12/2010"
"30221-1","City","Fire",2013,"Fire Car",1,36,,,,,5702014960893,673419188197,14,14,1.8,,"",0,0,0,,0,0,,,,,,,,,5.3800,3.0800,"01/01/2013","31/12/2013"
"9938-1","Dacta","",1995,"Conveyor Belt Links",,36,,6.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.0000,,"",""
"6200-2","HERO Factory","Breakout",2012,"EVO",,36,6.99,8.99,11.99,,5702014840089,673419167307,16.99,23.01,7.01,0.12,"",0,0,0,,0,0,,,,,,,,,27.3000,10.8000,"01/01/2012","31/12/2012"
"853346-1","Seasonal","Christmas",2011,"Holiday Bauble with Green Bricks",,36,6.99,7.99,9.99,,,673419163675,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"852701-1","Castle","Battle Pack",2009,"Troll Warrior Battle Pack",5,36,8.79,14.99,,,,673419123044,,,,,"",0,0,0,,0,0,,,,,,,,,106.3900,94.9900,"",""
"4305-1","Space","UFO",1998,"Cyborg Scout",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4974-1","Duplo","LEGO Ville",2007,"Horse Stables",2,36,24.49,39.99,,,5702014500198,,38.4,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,52.2600,18.0000,"01/02/2007","31/12/2009"
"1905-1","Basic","",1982,"Mini Building Set",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.1100,9.7300,"",""
"1870-1","Freestyle","",1995,"Trial Size Bag",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6247-1","Pirates","Imperial Guards",1992,"Bounty Boat",3,36,,4.75,,,,042884062477,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,19.7000,"",""
"6204-1","Pirates","Accessories",1997,"Buccaneers",5,36,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,211.8300,86.4500,"",""
"6102-1","Castle","Accessories",1985,"Castle Mini-Figures",6,36,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,217.1600,52.4200,"",""
"6417-1","Town","Paradisa",1997,"Show Jumping Event",1,36,,4,,,,,14.4,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,49.1800,17.7700,"01/01/1997","31/12/1997"
"6463-1","Town","Space Port",1999,"Lunar Rover",1,36,,4,,,5702012000546,,14.4,7.2,6,,"",0,0,0,,0,0,,,,,,,,,30.0100,6.5700,"24/09/1999","31/12/2000"
"6514-1","Town","Vehicles",1994,"Trail Ranger",1,36,,3.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.4300,4.8800,"",""
"6701-1","Space","Classic",1983,"Minifig Pack",6,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,236.0800,54.7800,"",""
"5434-1","Explore","Being Me",2002,"LEGO Baby Stack 'n' Learn",2,36,17.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5823-1","Belville","Fairy-Tale",2000,"The Good Fairy's Bedroom",1,36,,6,,,,,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,27.0000,28.5700,"01/01/2000","31/12/2001"
"5835-1","Belville","",1996,"Belville Dance Studio",1,36,,,,,,,19.2,19.2,6,,"",0,0,0,,0,0,,,,,,,,,15.0000,21.5400,"01/08/1996","31/12/1998"
"5842-1","Belville","",2002,"Vanilla's Frosty Sleighride",1,36,14.99,17,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.6300,25.3600,"",""
"5048-1","Service Packs","Town",1993,"Town Accessories",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.5300,,"",""
"5017-1","Sports","Hockey",2003,"Hockey Headshox",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5100,3.5300,"",""
"8535-1","Bionicle","Toa Mata",2001,"Lewa",,36,4.99,7,,,,042884085353,8.8,18.8,8.8,,"",0,0,0,,0,0,,,,,,,,,187.2600,18.9400,"01/02/2001","30/06/2002"
"8505-1","Technic","Slizer",1999,"Amazon",,36,,6,,,,,17.5,11,7.6,,"",0,0,0,,0,0,,,,,,,,,32.2000,10.1600,"01/01/1999","31/05/2000"
"8572-1","Bionicle","Toa Nuva",2002,"Tahu Nuva",,36,4.99,8,,,,673419015479,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,156.5100,15.8800,"01/09/2002","31/12/2003"
"8644-1","Racers","Tiny Turbos",2005,"Street Maniac",,36,2.99,4,,,5702014420946,673419055970,,,,,"",0,0,0,,0,0,,,,,,,,,9.0900,4.3200,"",""
"7072-1","4 Juniors","Pirates",2004,"Captain Kragg's Pirate Boat",1,36,9.99,13,,,5702014357839,673419032216,19.2,28.8,4.8,0.21,"",0,0,0,,0,0,,,,,,,,,50.0000,18.0000,"01/06/2004","31/12/2005"
"7042-1","World City","Police and Rescue",2004,"Dune Patrol",1,36,2.99,4,,,,673419031806,9.6,9.6,6,0.05,"",0,0,0,,0,0,,,,,,,,,19.5000,3.7100,"01/01/2004","31/07/2005"
"7246-1","City","Construction",2005,"Mini Digger",1,36,2.99,3.99,,,5702014428928,673419058117,14.4,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,19.4600,3.1700,"01/01/2005","31/12/2007"
"7223-1","Creator","Designer Set",2003,"Wheelers",,36,,,,,5702014366602,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1400,1.0800,"",""
"7439-1","Explore","Little Robots",2003,"Stretchy's Junk Yard",2,36,19.99,,,,,,38.4,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,,55.5400,"01/08/2003","31/12/2004"
"3665-1","Fabuland","",1980,"Harry Horse and Clara Cow's Ice Cream Shoppe",2,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,387.7500,21.6800,"",""
"4750-1","Harry Potter","Prisoner of Azkaban",2004,"Draco's Encounter with Buckbeak",1,36,5.99,8,,,5702014363670,673419033534,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,28.6100,24.2000,"05/04/2004","31/01/2005"
"4348-1","Creator","3 in 1",2004,"Aero Pod",,36,3.99,3.5,,,5702014366831,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,9.9500,3.1700,"01/04/2004","31/12/2004"
"2649-1","Duplo","",1984,"Sea Explorer",3,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,90.8000,26.8300,"",""
"2338-1","Duplo","",1995,"Kitty Cat's Building Set",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2371-1","Duplo","",1991,"Flying School",3,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2372-1","Duplo","",1993,"Zoo Bucket",2,36,,,,,5702010923724,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2376-1","Duplo","",1991,"Play Bucket",,36,,,,,5702010923762,,,,,,"",0,0,0,,0,0,,,,,,,,,45.7200,,"",""
"2252-1","Duplo","",1997,"Basic Cannister Set",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1971-1","Castle","Black Knights",1993,"Battering Ram",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.9900,28.3200,"",""
"1974-4","Space","Futuron",1989,"Star Quest",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,27.6500,"",""
"10047-1","Bulk Bricks","",2002,"Arch",,36,,5.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.9500,4.9500,"",""
"1627-1","Basic","Seasonal",1989,"Santa",,36,,1.3,,,,042884016272,,,,,"",0,0,0,,0,0,,,,,,,,,7.7600,2.8900,"",""
"1548-2","Universal Building Set","",1985,"Helicopter",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,1.4900,"",""
"1794-1","Castle","Dragon Knights",1994,"Dragon Master Chariot",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,135.0000,27.2700,"",""
"1795-1","Pirates","Imperial Guards",1994,"Imperial Cannon",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,28.7000,"",""
"1815-1","Town","Paradisa",1996,"Paradisa Lifeguard",2,36,,,,,,,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,107.7000,41.2400,"01/01/1996","31/12/1997"
"1741-1","Town","Leisure",1994,"(Unnamed)",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,3.0500,"",""
"30270-1","Teenage Mutant Ninja Turtles","TV Series",2013,"Kraang's Turtle Target Practice ",1,36,,3.99,,,,673419201957,14,14,0.8,,"",0,0,0,,0,0,,,,,,,,,4.9800,4.8400,"01/07/2013","31/12/2013"
"30254-1","Legends of Chima","Promotional",2013,"Razcal's Double-Crosser",1,36,,,,,,673419192323,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,6.0200,3.2600,"01/01/2013","31/12/2013"
"850632-1","Ninjago","The Final Battle",2013,"Samurai Accessory Set",4,36,10.49,14.99,17.99,,,673419195003,,,,,"",0,0,0,,0,0,,,,,,,,,33.8100,15.9900,"",""
"4559922-1","Castle","Battle Pack",2008,"Troll Warriors Battle Pack",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30227-1","City","Police",2014,"Police Watercraft",2,36,,4.99,,,5702015129312,,17,19.5,1,,"",0,0,0,,0,0,,,,,,,,,4.8300,3.0000,"01/01/2014","31/12/2014"
"4347-2","Creator","",2004,"Auto Pod",,36,,,,,,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,7.4500,4.9900,"01/04/2004","31/12/2004"
"40104-1","Promotional","Monthly Mini Model Build",2014,"Frankenstein's Monster",,36,,,,,,673419212052,17,17,0.1,,"",0,0,0,,0,0,,,,,,,,,5.1200,2.5000,"01/10/2014","31/12/2014"
"3850003-1","Miscellaneous","Pick A Model",2015,"Giraffes",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71219-1","Dimensions","Fun Pack",2015,"Legolas Fun Pack",1,36,14.99,14.99,14.99,14.99,,,17.2,19,4.9,,"",0,0,0,,0,0,,,,,,,,,14.7500,14.0100,"27/09/2015","31/12/2016"
"10816-1","Duplo","",2016,"My First Cars and Trucks",,36,14.99,19.99,24.99,19.99,,673419250177,28.194,26.2128,9.5504,0.6849239,"",0,0,0,,0,0,,,,,,,,,17.7900,17.9500,"",""
"853544-1","Ninjago","Skybound",2016,"NINJAGO Accessory Set",4,36,10.99,14.99,17.99,12.99,,673419256629,,,,,"",0,0,0,,0,0,,,,,,,,,22.8600,16.3000,"",""
"5005376-1","Star Wars","Promotional",2018,"Star Wars Anniversary Pod",1,36,,,,,,673419290869,,,,,"",0,0,0,,0,0,,,,,,,,,23.7400,20.4300,"",""
"40241-1","Promotional","Monthly Mini Model Build",2017,"Platypus",,36,,,,,5702015867030,,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,5.3700,2.5000,"01/03/2017","31/12/2017"
"562005-1","Friends","Magazine gift",2020,"Dressing Table",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.7000,,"",""
"854048-1","Xtra","Miscellaneous",2020,"Road Tape",,36,7.99,8.99,11.99,8.99,,673419331999,,,,,"",0,0,0,,0,0,,,,,,,,,13.1400,,"",""
"TRUWEASLEYCAR-1","Harry Potter","Promotional",2018,"The Weasleys' car",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41403-1","Friends","Play Cube",2020,"Mia's Play Cube - Veterinarian",1,36,7.99,9.99,13.99,9.99,5702016618891,673419319874,15.3,20.5,5.2,0.1,"",0,0,0,,0,0,,,,,,,,,16.9900,11.9900,"01/01/2020","31/03/2020"
"10915-1","Duplo","",2020,"Alphabet Truck",2,36,24.99,24.99,34.99,29.99,5702016617764,673419318839,38.2,26.2,9.4,0.85,"",0,0,0,,0,0,,,,,,,,,27.4600,,"",""
"40375-1","Xtra","Accessories",2020,"Sports Accessories",,36,3.99,3.99,4.99,3.99,,673419320597,14,17,0.7,0.022,"",0,0,0,,0,0,,,,,,,,,5.5100,,"01/01/2020","31/12/2021"
"40330-1","Promotional","Monthly Mini Model Build",2019,"UFO",,36,,,,,5702016370638,673419304665,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,6.5100,,"01/10/2019","31/12/2019"
"KNIGHTBUS-1","Harry Potter","Promotional",2019,"Knight Bus",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"853866-1","Ninjago","March of the Oni",2019,"Oni Battle Pack",3,36,11.99,12.99,16.99,12.99,,673419308069,,,,,"",0,0,0,,0,0,,,,,,,,,53.7600,51.7900,"",""
"30393-1","Minecraft","Minifig-scale",2019,"Steve and Creeper Set",2,36,,,,,5702016374827,673419306287,17,19.5,1,,"",0,0,0,,0,0,,,,,,,,,8.7900,6.9600,"01/01/2019","31/12/2019"
"853958-1","Seasonal","Easter",2019,"Chicken Skater Pod",1,36,,6.99,8.49,,,673419307871,,,,,"",0,0,0,,0,0,,,,,,,,,9.9100,6.0000,"",""
"30365-1","City","Mars Exploration",2019,"Space Satellite",1,36,,3.99,6.99,,5702016374810,,17,17,0.7,0.025,"",0,0,0,,0,0,,,,,,,,,4.8400,3.0400,"01/06/2019","31/12/2020"
"853776-1","Friends","Miscellaneous",2018,"Emma's Photo Studio Pod",1,36,7.99,8.99,10.99,8.99,673419287227,673419287227,,,,,"",0,0,0,,0,0,,,,,,,,,7.5900,7.4100,"",""
"911833-1","Star Wars","Magazine Gift",2018,"Imperial Shuttle",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3200,2.9200,"",""
"30563-1","Miscellaneous","Make It Yours",2021,"Build Your Own Snail with Superpowers - Make It Yours",,36,,,,,5702016911077,,14,14,0.9,0.025,"",0,0,0,,0,0,,,,,,,,,2.5700,,"01/01/2021","31/12/2021"
"40465-1","Xtra","Accessories",2021,"Food",,36,3.99,3.99,4.99,3.99,,673419337892,,,,0.017,"",0,0,0,,0,0,,,,,,,,,6.0400,2.9900,"01/01/2021","31/12/2021"
"10939-1","Duplo","Jurassic World",2021,"T. rex and Triceratops Dinosaur Breakout",1,36,24.99,29.99,39.99,29.99,5702016911091,673419338196,28.2,26.2,9.6,0.614,"",0,0,0,,0,0,,,,,,,,,26.8000,,"01/06/2021","31/12/2022"
"10940-1","Duplo","Spidey and His Amazing Friends",2021,"Spider-Man Headquarters",3,36,24.99,29.99,39.99,29.99,5702016911299,673419338110,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,33.3100,13.5000,"01/06/2021","31/12/2022"
"11953-1","Creator","Magazine Gift",2021,"Gecko",,36,,,,,5702016925333,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2300,3.3000,"",""
"472201-1","Friends","Magazine gift",2022,"Cute Foal with Food and Water Pump",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.4100,,"",""
"30638-1","City","Police",2023,"Police Bike Training",1,36,3.5,,,,5702017421483,,17,19.5,1.5,0.039,"",0,0,0,,0,0,,,,,,,,,3.7700,,"01/01/2023","31/12/2023"
"41942-1","Dots","Bracelets",2022,"Into the Deep Bracelets with Charms",,36,5.99,5.99,7.99,6.99,5702017156101,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7200,,"",""
"30587-1","City","Police",2022,"Police Robot Unit",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6465380-1","Friends","Promotional",2023,"Friends Heart Box",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"912312-1","Star Wars","Magazine Gift",2023,"Yoda's Jedi Starfighter",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1400,,"",""
"6464602-1","Promotional","LEGO brand stores",2023,"Cake",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"662308-1","Minecraft","Magazine Gift",2023,"Alex, Baby Llama and Bee",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2500,,"",""
"6385434-1","Harry Potter","Promotional",2022,"Golden Snitch",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"562204-1","Friends","Magazine gift",2022,"Fruit Stand",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.9600,,"",""
"GREENDRAGON-1","The LEGO Ninjago Movie","Promotional",2017,"Green Dragon",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"562106-1","Friends","Magazine gift",2021,"Stephanie's Cookie Kitchen",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.0100,,"",""
"30570-1","City","Wildlife Rescue",2021,"Wildlife Rescue Hovercraft",1,35,,,,,5702016911954,673419339261,17,17,2.2,0.036,"",0,0,0,,0,0,,,,,,,,,3.5300,3.8200,"01/06/2021","31/12/2022"
"40464-1","Xtra","Accessories",2021,"Chinatown",,35,3.99,3.99,4.99,3.99,,673419338004,,,,0.024,"",0,0,0,,0,0,,,,,,,,,5.0400,,"",""
"11931-1","Miscellaneous","Book Parts",2020,"Cute Ideas parts",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"271723-1","Nexo Knights","Magazine Gift",2017,"Hovercraft",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.2000,1.0700,"",""
"121802-1","Jurassic World","Magazine Gift",2018,"Owen and lookout post",1,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0600,1.8800,"",""
"911842-1","Star Wars","Magazine Gift",2018,"Star Destroyer",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3100,3.9700,"",""
"951810-1","City","Magazine Gift",2018,"Arctic Explorer with Snowmobile",1,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9100,3.6400,"",""
"SNITCH-1","Harry Potter","Promotional",2019,"Golden Snitch",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.2300,12.1900,"",""
"562001-1","Friends","Magazine gift",2020,"Cake",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.1400,3.3400,"",""
"10922-1","Duplo","Disney Princess",2020,"Ariel's Undersea Castle",1,35,24.99,29.99,39.99,29.99,5702016618129,673419318891,28.2,26.2,9.6,0.58,"",0,0,0,,0,0,,,,,,,,,39.5300,18.2200,"01/06/2020","31/12/2021"
"30566-1","City","Fire",2021,"Fire Helicopter",1,35,3.49,,,3.99,5702016912524,,17,17,1.1,0.043,"",0,0,0,,0,0,,,,,,,,,3.0700,2.1400,"01/01/2021","31/12/2021"
"122009-1","Jurassic World","Magazine Gift",2020,"Vic Hoskins with Buggy",1,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5000,2.2400,"",""
"30405-1","Friends","Sports",2018,"Stephanie's Hockey Practice",1,35,,,,,5702016123401,673419286633,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,1.8900,1.8000,"01/01/2018","31/12/2018"
"REDTEMPLE-1","Ninjago","Promotional",2017,"Red Temple",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.9900,9.9500,"",""
"911727-1","Star Wars","Magazine Gift",2017,"Rey's Speeder",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6100,2.5600,"",""
